ktru_code,ktru_name,contract_count,ktru_description,total_contract_sum,average_contract_sum,ktru_subgroup
281314.900.000123,Станция трехнасосная,53,"для водоснабжения, мощность 90+90+90 кВт, напор максимальный 66 м, подача максимальная 352 м ³/час",16660396206.72,314347098.24000000,01f23b77-c6f6-4cf7-8ff2-dc79389a12d9
264044.900.000002,Комплекс радиоконтроля,197,мобильный,16634846888.00,84440847.147208121827,83ab1070-6df2-4242-906b-168c9da5ff80
141922.190.000008,Костюм,507,"мужской, для военнослужащих специального назначения, из ткани",16627944200.40,32796734.123076923077,476695da-c81b-482b-8004-1221fb80f7ef
282215.500.000006,Автопогрузчик,631,"ковшовый, грузоподъемность 2500-5000 кг",16436334717.86,26048074.037812995246,6e183657-72ca-4231-8098-f7180e2661d8
141943.990.000002,Кепи,1528,"для военнослужащих, из ткани",16435022610.00,10755904.849476439791,75f722e2-cb8a-4ac5-b639-b6236e7aefd1
222121.530.010074,Труба для водоснабжения,35,"полиэтиленовая, диаметр 551-600 мм",16388179780.00,468233708.00000000,fe64a43d-37a1-40a8-94fe-0e0e5f18ac71
265112.300.000003,Прибор аэрологический,338,для измерения и регистрации комплексов аэрологических элементов,16370201822.00,48432549.769230769231,d4f43144-e954-4346-a3fe-06355a4504e5
262018.900.000003,Комплекс программно-аппаратный,246,для коллективной печати,16297468364.00,66249871.398373983740,f435e758-d6a6-4ef8-96bc-3d5d9ada1ae7
262016.300.000016,Принтер,3298,"лазерный, монохромный",16219684395.88,4918036.505724681625,ad07ed0e-6dac-4495-ac53-e8f9e8c12d96
281314.130.000001,Насос,451,"для воды и других чистых, химически нейтральных жидкостей, горизонтальный одноступенчатый с колесом двухстороннего входа, подача 100-12500 м3/ч",16065038801.00,35620928.605321507761,5c81a149-5510-4c56-843e-2d6712c1e1b7
266011.100.000001,Аппарат рентгеновский,38,панорамный,15960000000.00,420000000.00000000,bba219d8-53a9-42ed-9899-c0c54c238b64
279020.500.000012,Экран,1430,светодиодный,15926847515.00,11137655.604895104895,f6a3d39d-f094-4a30-9e09-27fac9221aba
292023.900.000009,Прицеп,193,"грузоподъемность более 9000 кг, но не более 10000 кг",15885483928.59,82308206.883886010363,515a7a13-7af8-4fd7-b609-687d74b7a652
107111.100.000003,Государственные закупки «Закуп продуктов питания на 2023 год» способом открытого конкурса,1186,Государственные закупки «Закуп продуктов питания на 2023 год» способом открытого конкурса,15802256226.10,13323993.445278246206,1ae89a95-9d40-4c86-88a4-cdc61c13c66c
105155.410.000000,Сыворотка,405,жидкая,15800079403.00,39012541.735802469136,76808ec1-7d51-4870-8401-43088118c1f5
324031.590.000001,Велосипед,1004,взрослый,15761810072.51,15699014.016444223108,1e05ddf8-614d-4146-8375-f4876c4dece1
205952.100.000175,Набор реагентов,1068,для автоматического анализатора исследования гемостаза,15660371515.00,14663269.208801498127,0148c883-8f55-425e-9856-a25f7c4fc255
262030.100.000009,Комплекс программно-аппаратный,532,"для управления информацией о безопасности и событиях безопасности, автоматизации процесса анализа событий сетевой инфраструктуры",15636704628.28,29392301.932857142857,bbd6affe-dead-4761-ba3e-c30f575f9f5e
262014.000.000014,Тренажер-имитатор,390,моделирование производственных технологических установок и процессов,15548052611.40,39866801.567692307692,3f748b67-7f70-43f6-bb13-ba2768f7d7ee
262021.300.000062,Диск жесткий,60,"интерфейс SAS 12 Гбит/с, емкость более 2 Тб, но не более 8 Тб,  размер 2,5''",15527563840.00,258792730.66666667,8f567262-1255-49e2-9d11-d3b86e5aaffc
