ktru_code,ktru_name,contract_count,ktru_description,total_contract_sum,average_contract_sum,ktru_subgroup
325050.900.000005,Линия,35,для аспирации и антикоагуляции крови,535604760.00,15302993.142857142857,9c07e62b-68fa-4579-96de-6535fee1640c
243411.700.000009,Проволока,7,"стальная, канатная, диаметр 3,8-5,5 мм",535575744.00,76510820.571428571429,2f69cced-580a-48ec-b2a5-5acc17490e55
105152.400.000005,Приобретение продуктов питания,30,Приобретение продуктов питания,535462303.56,17848743.452000000000,16dded40-b44e-4e48-9ec3-d39a04716831
271150.350.000002,Агрегат выпрямительный,21,"трехфазный, номинальное напряжение 380 В",535080000.00,25480000.000000000000,d247b7be-c49a-476a-bfc7-45578c527601
259929.200.000001,Корзина,30,"сетчатая, покупательская, металлическая",534577500.00,17819250.000000000000,28eca599-e6e1-466d-a360-a7214a0939b1
261230.000.000005,Смарт-карта,19,с оптической памятью,534375000.00,28125000.000000000000,1ef32590-52b8-4c3d-b1f2-5f9725aa58b8
291011.500.000000,Двигатель,133,"внутреннего сгорания, карбюраторный, рабочий объем цилиндра более 250 см3, но не более 1000 см3",533076145.00,4008091.315789473684,d2e89ba2-9423-4694-8012-9b4deb95c665
325013.100.000059,Щипцы,98,медицинские,532784332.00,5436574.816326530612,d9082df2-0e1a-466f-8aea-c01698fd815e
282912.300.000026,Аппарат,82,для очистки воды,532769712.86,6497191.620243902439,13e25221-f86c-4534-a106-42fa490a2f04
310012.900.000004,Стул,83,"кроме офисного, каркас деревянный, без обивки, жесткий",532376208.00,6414171.180722891566,f2810e86-5915-4ebc-ae85-62970ec2e511
242013.900.001299,Труба электросварная,14,"стальная, диаметр 273 мм, толщина стенки 7 мм",531916716.00,37994051.142857142857,4f5d4a93-1685-4f49-835e-618a22bdcab6
325013.650.000000,Датчик концентрации кислорода,90,для наркозно-дыхательного аппарата,531827530.00,5909194.777777777778,c4e43dae-a68c-4fe0-8b67-bf037cda9d8e
267012.300.000003,Камера,163,обзорная,530882856.00,3256950.036809815951,ff16fe66-ce00-46c7-8d45-7f432212f890
265112.350.000000,Прибор агрометеорологический,36,для производства агрометеорологических наблюдений и измерений,530578465.00,14738290.694444444444,8276ff2b-b90c-4eb5-a604-19dd54d85519
259912.400.000044,Миска,121,из стали,529878592.00,4379161.917355371901,11afc297-1303-4f05-a574-0fc954edf8c6
281323.900.000018,Компрессор,27,винтовой,528456800.00,19572474.074074074074,ece0f974-52f8-4a13-b23f-31a61ea1bbc3
282922.230.000001,Блок термовентиляционный,9,для окрасочно-сушильной камеры,528439700.16,58715522.240000000000,f0bca655-ee14-433c-8128-4fd89251fd3a
236111.500.000195,Плита для колодца,47,"железобетонная, тип ПН10",528330061.00,11241065.127659574468,46a439e2-e912-446f-a34f-5e55efbf98bf
262040.000.000158, Қосалқы бөлшектер,69,Компьютерные комплектующие запчасти,527951656.00,7651473.275362318841,1e2fdb31-354a-434c-bcb8-a2510675d5f4
272022.900.000005,Аккумулятор,424,"для ИБП, напряжение 12 В, емкость 1,2-7 А/ч, свинцово-кислотный",527758084.00,1244712.462264150943,e62ebff8-2af2-472d-b42d-3b421401c498
222921.590.000000,Пленка,81,оптическая,524597680.00,6476514.567901234568,5881d412-69f1-4f52-b739-6774a1f23fac
259912.400.000052,Поднос,28,из металла,523600000.00,18700000.000000000000,11afc297-1303-4f05-a574-0fc954edf8c6
271141.530.000001,Трансформатор силовой,33,"масляный, мощность 1600 кВА, первичное напряжение 27,5 кВ",523465579.00,15862593.303030303030,46c6044c-86c5-4f8a-b5a1-ced6ed86871e
325021.300.000000,Устройство для механотерапии,26,для медицины,522957200.00,20113738.461538461538,e45c7fd2-fe9d-448b-9bf3-7d4e07a4636a
291059.999.000036,Автомобиль,15,"специализированный, мусоровоз, вместимость более 7 м3, но не более 10 м3",521760711.00,34784047.400000000000,9dfbb862-537a-43e3-9503-c8e156fcf29a
152032.900.000023,Сапоги,38,"для защиты от скольжения по зажиренным поверхностям, женские, кожанные, утепленные",520165866.00,13688575.421052631579,1a981cc4-fa12-4c36-992e-497c280b54f6
254011.000.000006,Винтовка,45,мультикалиберная,520011800.00,11555817.777777777778,ba87ba4b-abde-4a87-8f17-93f4922207a3
242013.900.001277,Труба электросварная,11,"стальная, диаметр 325 мм, толщина стенки 8 мм",519820750.58,47256431.870909090909,4f5d4a93-1685-4f49-835e-618a22bdcab6
265184.500.000001,Датчик расхода газа,27,для преобразования измеренного объёмного расхода газа в электрический нормированный сигнал,519210000.00,19230000.000000000000,0b12af62-2829-4801-a17b-cc0be6e4a684
265153.950.000012,Аппарат,65,для определения температуры размягчения битумов,518746644.96,7980717.614769230769,b8c0b8b1-2efa-4b9c-bc59-61fc04103f9c
325050.900.000007,Мельница,111,лабораторная,518291900.00,4669296.396396396396,9c07e62b-68fa-4579-96de-6535fee1640c
291059.999.000075,Автомобиль,10,"специализированный, мастерская передвижная, ремонтное оборудование нефтепромыслов, трубопроводов, нефтесборных пунктов, станков-качалок, технологического оборудования водопроводов, канализации",518000000.00,51800000.000000000000,9dfbb862-537a-43e3-9503-c8e156fcf29a
265153.900.000027,Плотномер,53,для измерения плотности жидкости,517788051.20,9769585.871698113208,3cf74de0-42df-4c76-830d-410eb3dc85b3
325021.800.000034,Аппарат высокопоточный,28,для назальной кислородной терапии,517367000.00,18477392.857142857143,5778d2be-3a32-4104-8219-b2b296280741
262011.200.000001,Фоторамка цифровая,53,"жидкокристаллический дисплей, диагональ 8 до 10 дюймов",516738642.63,9749785.710000000000,f5a3ef60-cd63-48e2-8f2b-d498b46dc805
011312.200.000000,Капуста,57,"свежая, брюссельская",516529193.90,9061915.682456140351,
281413.550.000002,Клапан,43,"запорный, стальной, размер 50-450 мм",516455650.00,12010596.511627906977,a9d14d6a-5d55-4117-8e44-b7430d2a3861
267011.000.000007,Объектив фотокамеры,84,тип телеобъектив Zoom,514225380.00,6121730.714285714286,4e6e6a3d-8053-4453-b147-66ada05ffb71
051010.900.000000,Уголь каменный,23,длиннопламенный газовый (ДГ),513481785.00,22325295.000000000000,e2fe8c5c-36c5-4974-b075-65e1cd199fe0
292023.900.000001,Прицеп,119,грузоподъемность не более 500 кг,513247500.40,4313004.205042016807,515a7a13-7af8-4fd7-b609-687d74b7a652
281332.000.000098,Доводчик вентиляторный,44,горизонтальный,512446000.00,11646500.000000000000,d0e47e14-cc29-4fe2-8e91-94009143c3b8
101315.910.000003,Консерва мясная,35,эмульгированная,511854709.00,14624420.257142857143,7431e7bb-da7b-49ce-836c-f397129376d3
282970.300.000017,Полуавтомат для сварки,43,для плавки и дуговой сварки,511212972.00,11888673.767441860465,e2e502fc-82a5-4339-8d04-fbb1022dde74
20.59.52.00.00.00.41.20.1,Среда питательная,24,для культивирования микроорганизмов,510247583.50,21260315.979166666667,defb5c11-f36a-4964-b278-29d3e34d0516
310912.550.000000,Гарнитур мебельный,38,для столовой,509708000.00,13413368.421052631579,6066ea42-196f-4c51-88b9-1424b4e6193b
264043.700.000000,Усилитель трансляционный,14,для систем громкоговорящей связи,509600000.00,36400000.000000000000,55c95ee1-47ca-4012-a460-66d66678ff96
293230.900.000062,Насос водяной (жидкостный),47,для автобуса,507657770.00,10801229.148936170213,ac5a7bf1-9f64-4f83-a788-5bf01ca37ecd
279013.900.000000,Котел варочный,101,отдельностоящий,507614310.00,5025884.257425742574,abf1b37b-71eb-444d-9f0d-04c413bfb84f
275121.720.000000,Миксер,27,ручной,506955061.00,18776113.370370370370,1a22fe6e-b273-4db7-a07f-bf9cd1bbe377
243411.320.000000,Проволока,38,"стальная, пломбировочная , диаметр до 1 мм",506663839.34,13333258.930000000000,d1902e48-9219-4614-b640-3fc25190e157
089210.000.000000,Торф,36,фрезерный,506504491.08,14069569.196666666667,79032a19-0056-408c-9790-083ca1e013cf
222121.530.000402,Труба для водоснабжения,32,"полиэтиленовая, диаметр 160 мм, толщина стенки 9,5 мм",505032826.00,15782275.812500000000,fe64a43d-37a1-40a8-94fe-0e0e5f18ac71
273213.730.000108,Кабель силовой,41,"марка ПвВГнг, напряжение 1 000 В",504972400.00,12316400.000000000000,1468c617-3799-46e5-aff3-e5d52dd3ba66
141212.490.000002,Брюки,89,"мужские, сигнальные, из ткани",504963328.00,5673745.258426966292,3466ca78-57a5-4ce5-a60e-3b56d6111c8c
242034.000.000308,Труба электросварная,6,"стальная, квадратная, диаметр 80 мм, толщина стенки 8,0 мм",504785160.00,84130860.000000000000,c44627cb-1b42-4e0c-8e9c-46e563a74a30
292023.900.000004,Прицеп,63,"грузоподъемность более 3000 кг, но не более 4000 кг",503881071.40,7998112.244444444444,515a7a13-7af8-4fd7-b609-687d74b7a652
282113.600.000024,Парафинонагреватель,84,электрический,503822835.00,5997890.892857142857,f987f7b5-a4f7-49b3-952e-51579a807d0e
205952.100.000022,Праймер,52,для обнаружения гриппа методом ПЦР,503538600.00,9683434.615384615385,0148c883-8f55-425e-9856-a25f7c4fc255
325013.630.000015,Аппарат искусственного кровообращения,39,для выполнения функций сердца и/или лёгких,503490000.00,12910000.000000000000,4c89db7c-4d66-490b-9a3f-4a56f1583ba3
222213.000.000000,Урна мусорная,80,"уличная, пластиковая",503054937.14,6288186.714250000000,587b648a-b333-47f4-99a5-03b7d5159dd4
283051.300.000000,Косилка,14,"с двигателем, не являющаяся навесным оборудованием к трактору",502999994.00,35928571.000000000000,6a7712ab-a052-4915-996b-e2fdddac6e01
152013.510.000012,Ботинки,106,"для военнослужащих специального назначения, мужские, кожанные, утепленные",502540670.00,4740949.716981132075,f32b69c6-77e6-455e-bcd9-8334b26bebff
281521.300.000005,Приобретение запасных частей на комбайн зерноуборочный SAMPO SR3085,32,Приобретение запасных частей на комбайн зерноуборочный SAMPO SR3085,502119040.00,15691220.000000000000,905ae080-b5b7-4f53-b48d-a24161d4cbb0
266012.100.000003,Электрокардиограф,129,"3-канальный, встроенный термопринтер",501525700.00,3887796.124031007752,c2844545-6e58-46b4-aacf-47cc8685a830
236120.900.000791,Блок объемный для канализационных и водосточных коллекторов,12,железобетонный,500160000.00,41680000.000000000000,54138981-46a8-4fe3-8de4-e9e97de3ed34
271231.930.000001,Устройство вводно-распределительное,12,для жилого/общественного здания,500160000.00,41680000.000000000000,521daef6-34c1-4c64-a6a1-ee7155166951
106111.000.000008,Рис,115,"очищенный, длиннозерный, шлифованный",499880948.74,4346790.858608695652,96a74058-1cbe-4ecd-81c5-347af5346a12
259929.100.000003,Люк смотровой,76,"тип Л(А15), канализационный",497645996.00,6547973.631578947368,8a6d8fe6-31eb-45ba-b323-fa9749b69fc6
309230.230.000000,Колесо,29,для велосипеда,497176000.00,17144000.000000000000,84914b40-b714-4825-83d7-f2fb4db3cc4b
310012.592.000000,Кресло,65,"кроме офисного, каркас деревянный, обивка из ткани, кресло-кровать",496615350.00,7640236.153846153846,7417e722-978c-4b2d-ba80-f323d9def3db
139411.600.000004,Шнур,42,"технический, полиэтиленовый",496349532.00,11817846.000000000000,65c524e7-f37f-4963-9167-5fc090470c4b
264033.900.000008,Видеорегистратор,108,сетевой,495766652.00,4590431.962962962963,a9d352b2-3702-455a-845f-d527bb0422a4
108422.000.000002,Перец,40,"красный, молотый",495696109.60,12392402.740000000000,d0de5da4-ad6f-41b8-bcf3-ac6a0a2ccbf8
289912.900.000009,Станок специальный,81,для обработки наборных материалов,495611200.00,6118656.790123456790,e386238b-4481-4627-89a6-1a2d4602cbc7
275111.100.000047,Морозильник,60,"встраиваемый, в виде шкафа, объем не менее 220 л",495427377.91,8257122.965166666667,0d6139c6-f055-4241-99bf-fc820f55c515
325013.100.000019,Ножницы,106,медицинские,495136496.00,4671099.018867924528,d9082df2-0e1a-466f-8aea-c01698fd815e
273214.000.000041,Кабель,106,"марка АВБбШв,  напряжение более 1 000 В",494729775.00,4667262.028301886792,ebb27f78-fd86-4f39-8118-a7ec694b0f6c
282113.500.000019,Печь,86,"муфельная, лабораторная",494710155.64,5752443.670232558140,cb0f4699-38ca-48e8-8ee8-b7724fb357b1
264042.700.000012,Гарнитура микрофонная,246,для радиостанции,494639321.48,2010728.949105691057,c9cd2d43-d56f-449f-824e-1cf519c2eecb
236112.000.000003,Блок фундаментный,51,"из тяжелого бетона, марка ФБС24.4.6-Т",494395560.00,9694030.588235294118,34cc1fd3-f06d-4d73-8e31-3993c2944653
325021.800.000017,Аппарат искусственной вентиляции легких,62,группа 2,494132710.00,7969882.419354838710,5778d2be-3a32-4104-8219-b2b296280741
26.20.40.000.136.00.0796.000000000000,Картридж тонерный,257,черный,492312607.50,1915613.258754863813,1e2fdb31-354a-434c-bcb8-a2510675d5f4
283034.300.000000,Разбрасыватель удобрений,50,"для минеральных удобрений, сельскохозяйственный",491635300.00,9832706.000000000000,f0330a53-e100-44f6-8d5d-0de21e548119
103217.100.000003,Продукты питания,82,"Товар должен соответствовать заявленным характеристикам, наименованию, количеству",491514419.61,5994078.287926829268,23d06292-416d-4bc0-85e0-cf74bb21331d
254012.700.000000,Оружие имитационное,17,учебно-имитационное,491266000.00,28898000.000000000000,d5c5b95f-4487-4338-8154-8bb8f9a9ff87
172212.350.000000,Подгузник,53,"для взрослых, одноразовый, размер 3",490960564.20,9263406.871698113208,4c553327-55db-4e82-899f-03e189fdc433
141424.290.000006,Трусы,236,"женские, из ткани",490386290.00,2077908.008474576271,e7569ea3-07ff-45e8-8b7c-630905479083
262016.920.000000,Плоттер (графопостроитель),134,"струйный, рулонный",489885186.00,3655859.597014925373,dde1205c-6897-4bee-a7a4-be9d7f69a365
283031.500.000008,Плуг,70,"навесной, 3-х корпусный",489342320.00,6990604.571428571429,5029aa74-02a3-458b-9625-ed4fc3dfa010
205952.100.000268,Набор реагентов,38,для определения альбумина в сыворотке и плазме крови,489193155.00,12873504.078947368421,0148c883-8f55-425e-9856-a25f7c4fc255
139214.900.000000,Полотенце,375,"банное, из ткани",489086614.00,1304230.970666666667,96f40df9-71d1-4f43-98f6-0c111417a9ab
242040.500.000012,Отвод,83,"стальной, крутоизогнутый, диаметр 201-450 мм, исполнение 2",488728703.00,5888297.626506024096,0b97b8ab-ac29-45ba-bb7a-764aeb3d5789
231313.700.000034,Тарелка,223,"из стекла, крупная, диаметр 150-250 мм",488581240.00,2190947.264573991031,f9654933-ea89-4e9d-bb2a-747752212294
239919.100.000030,Мат теплоизоляционный,29,"из базальта, марка МТПЭ",487798250.00,16820629.310344827586,d0516da7-7c12-4f03-9f05-047356bd19fb
262015.000.000008,Система учета рабочего времени,105,"по изображению лица и отпечатку пальца, биометрическая",487647856.00,4644265.295238095238,d68285ac-9e5e-41e6-89ce-9c6487ffe6cd
212024.600.000008,Набор для проведения обработок,45,противопедикулезных,487317540.00,10829278.666666666667,365286c7-4090-40ab-83fe-fff0b5cd7388
222929.900.000051,Планшет,35,для определения группы крови,486204634.96,13891560.998857142857,d8b91acf-d3c5-45dc-99f4-fc9541449adf
289230.900.000003,Машина многоцелевая,28,коммунально-строительная,486059570.00,17359270.357142857143,24268544-7707-453e-a27c-09a57f501a7d
293230.250.000102,Шланг системы охлаждения,88,для специальной и специализированной техники,484942200.00,5510706.818181818182,cc7266c8-0427-4479-a5e2-ac492d5acf27
251123.173.000002,Опора линий электропередач,27,"тип ВЛ 10 кВ, металлическая",484918434.00,17959942.000000000000,92df1c43-96d9-4946-8a9d-6b63a978b061
251123.600.000014,Лоток,51,"перфорированный, металлический",484407800.00,9498192.156862745098,36812ecf-1412-45c7-a6e3-0e1dd472226d
19.20.26.00.00.00.00.40.1,Топливо дизельное,15,"межсезонное, температура застывания не выше -15°С",484158195.76,32277213.050666666667,46dbca54-7025-4c28-bf5f-dcc15f99e48f
106124.900.000001,Смесь,76,"для приготовления снеков, пицц,крекеров",484124565.00,6370060.065789473684,e6a963b5-acbf-4be1-b662-6bf87320a8cf
222926.300.000000,Фильтр,52,для очистки холодной питьевой воды,482360000.00,9276153.846153846154,b6da40de-4ace-4bb0-a4f6-cf2f51ca70a7
259929.490.000335,Тележка,109,инструментальная,481491456.00,4417352.807339449541,41f4a4e8-e956-475b-8230-8b01cecf6f1f
265153.900.000020,Набор профилактического обслуживания,70,для биохимического анализатора,481365785.68,6876654.081142857143,3cf74de0-42df-4c76-830d-410eb3dc85b3
289914.100.000001,Машина высокой печати,23,плоскопечатная,481075049.06,20916306.480869565217,f842ffbf-4d5d-420b-b1f1-c95876b480ed
262040.000.000150,Контроллер,35,для системы радиочастотной идентификации RFID,481029022.16,13743686.347428571429,1e2fdb31-354a-434c-bcb8-a2510675d5f4
212023.400.000013,Открытый конкурс по закупке реагентов для автоматического иммунохемилюминисцентного анализатора,32,Открытый конкурс по закупке реагентов для автоматического иммунохемилюминисцентного анализатора,480852020.00,15026625.625000000000,b1b6e06a-893a-4b06-b85c-021a4892614d
265145.200.000007,Компьютер,98,баллистический,480817354.00,4906299.530612244898,f0185eb1-f861-4165-9757-b77df55f529b
103217.200.000001,Смесь,38,"соков овощных, свежеотжатый",480724547.84,12650645.995789473684,64e1278d-931f-420b-9063-cb5ff44ac26c
271142.300.000043,Трансформатор напряжения,16,"трехфазный, класс напряжения 500",480000000.00,30000000.000000000000,b58b9ef5-2821-4420-99e9-2f8f1b355deb
271210.300.000002,Выключатель нагрузки,27,вакуумный,479999898.00,17777774.000000000000,0b47dc62-04cb-4c9f-9717-114338cdcd90
26.20.30.100.023.00.0839.000000000002,Доска,17,"интерактивная, обратной проекции, активная",479932170.00,28231304.117647058824,bbd6affe-dead-4761-ba3e-c30f575f9f5e
172211.350.000002,Полотенце,124,"общего назначения, бумажное",479022312.62,3863083.166290322581,1444e3c9-b244-4970-957c-2875d4999264
242013.900.010002,Труба водогазопроводная,41,"стальная, диаметр 101-150 мм",478773072.00,11677392.000000000000,4f5d4a93-1685-4f49-835e-618a22bdcab6
107111.400.000001,Булочка,16,с начинкой,478680660.80,29917541.300000000000,1b548536-bfaf-4c02-80ff-6912079a7e75
105210.600.000001,Кекс,16,из мороженого,478680660.80,29917541.300000000000,8d7891bb-472f-4adf-8aed-43b4cd3d01f7
293121.330.000001,запасные части на автомашину HYUNDAI H-350 2022 года выпуска,50,запасные части на автомашину HYUNDAI H-350 2022 года выпуска,477828370.00,9556567.400000000000,d0abd44a-667c-427e-b46f-8fa751d4ee5b
284923.000.000002,Стол,38,делительный,477803173.00,12573767.710526315789,4bba868a-515c-43bd-8870-c1479b2db336
292023.300.000019,Полуприцеп,99,"бортовой, грузоподъемность не более 10 т",477382250.00,4822042.929292929293,cfb5bf56-2a27-415f-9cf4-91711059bce6
14.12.30.00.00.10.10.13.1,Рубашка,7,с короткими рукавами,476612480.00,68087497.142857142857,9ca9195e-50c4-41a7-8e32-6be1cae445d5
205912.000.000008,Тонер-туба,422,для принтера лазерного,476035420.00,1128046.018957345972,e89ea414-16cd-4209-b204-748b5ea30c8b
172313.900.000000,Короб,42,"для хранения документов, картонный",475650000.00,11325000.000000000000,eac904cf-f651-4eac-b332-d110e8660a02
282911.500.000021,Комплект запасных частей инструментов и принадлежностей,48,для фильтровентиляционной установки,475050145.15,9896878.023958333333,e890893c-bcba-4c1e-874b-cdc315f3cc21
265111.900.000012,Система специализированная,48,навигационная,474100000.00,9877083.333333333333,6abf90e8-91e9-451b-abc7-7f74385d45d8
081211.900.000015,Песок,15,фракция средняя,473321195.94,31554746.396000000000,c3886c87-b9ba-41fb-a2f9-fdef68c04991
222121.530.010144,Труба общего назначения,44,"полиэтиленовая, диаметр 751-800 мм",471280128.00,10710912.000000000000,fe64a43d-37a1-40a8-94fe-0e0e5f18ac71
20.20.11.900.003.00.0112.000000000000,Инсектициды,17,жидкость,471192949.81,27717232.341764705882,192390ca-ef79-44a5-b9c5-846ed827b775
282922.230.000006,Распылитель,6,для эмалей/красок/извести,470902200.00,78483700.000000000000,f0bca655-ee14-433c-8128-4fd89251fd3a
257330.970.000034,Набор инструментов,6,для шофера,470902200.00,78483700.000000000000,9e28cb9c-4dbf-43cf-9790-17f81a34a75b
265153.100.000010,Дымоанализатор,6,портативный,470902200.00,78483700.000000000000,dc2c5473-a971-41a2-8886-274419ffb592
279020.500.000013,Сигнализатор взрывоопасности,27,"для непрерывного автоматического контроля довзрывоопасных концентраций горючих газов, паров и их смесей в воздухе рабочей зоны",470497600.00,17425837.037037037037,f6a3d39d-f094-4a30-9e09-27fac9221aba
265141.000.000050,Трассоискатель,86,специализированный,470459660.00,5470461.162790697674,81cdd16d-fa1f-4ba4-b62d-d94cafa7abf7
253012.300.000009,Змеевик,60,нагревательный,469800000.00,7830000.000000000000,d9e5716a-4051-4d4b-8538-4a332fef01eb
281311.300.000002,Установка закачки жидкости,8,для скважины,469724177.92,58715522.240000000000,3feb52c2-d7d3-4cb7-af1a-9f75ef2727db
030012.190.000004,Семга,77,живая,469606292.57,6098783.020389610390,
266012.900.000010,Счетчик лейкоцитарной формулы крови,40,для микроскопического анализа,469400000.00,11735000.000000000000,66bad9b0-2503-4ba2-8b41-9a9d34a59e0e
202014.300.000003,Средство дезинфицирующее,163,для повышения уровня рН воды,468040925.20,2871416.719018404908,fc7d7bf1-7447-4a5d-817b-0233f1c19580
282216.700.000017,Конвейер,24,"для погрузки/выгрузки багажа, груза, почты, ленточный",468000000.00,19500000.000000000000,e236c938-19c3-4310-8082-a2d880abde9e
283054.100.000000,Комбайн уборочный,4,"полуприцепной, для уборки картофеля",467532000.00,116883000.000000000000,3bad122c-863d-43e9-8225-4d77f83b208d
262014.000.000015,Тренажер-имитатор,24,моделирование природных процессов,467351000.00,19472958.333333333333,3f748b67-7f70-43f6-bb13-ba2768f7d7ee
26.51.12.00.00.17.11.11.1,Приборы и аппаратура ,16,Лабораторные.,467325351.01,29207834.438125000000,4e057c3d-a8ea-49a0-878c-6edc3475c3c8
141422.210.000000,Трусы,18,"повседневные, мужские, из хлопчатобумажной ткани",467033990.00,25946332.777777777778,7cb528e3-d5cb-43c4-8a28-21d5b3be264b
205952.100.000272,Набор реагентов,46,для определения концентрации глюкозы в крови человека,466592889.00,10143323.673913043478,0148c883-8f55-425e-9856-a25f7c4fc255
275121.720.000001,Миксер,72,стационарный,466579294.00,6480267.972222222222,1a22fe6e-b273-4db7-a07f-bf9cd1bbe377
205952.100.000191,Набор реагентов,148,для выявления антител к вирусу простого герпеса первого и второго типов в сыворотке крови,465455500.00,3144969.594594594595,0148c883-8f55-425e-9856-a25f7c4fc255
212013.990.000710,Фенобарбитал,14,раствор,465313640.00,33236688.571428571429,b0b75a30-9586-45cd-bee3-6ed6e4bb5c11
107311.310.000001,Изделия макаронные,138,"макароны, из пшеничной муки, сорт 1",465138216.36,3370566.785217391304,f78e56a5-7e84-4e6f-8149-c29e01b00bac
289931.900.000001,Шкаф сушильный,175,"металлический, лабораторный",465064586.64,2657511.923657142857,0bea1117-f354-421a-997a-e9149144fe06
139222.200.000004,Палатка,99,"туристическая, многоместная, с каркасом",464556500.00,4692489.898989898990,76ea01d5-550c-4572-82f8-42cc18fa555a
103211.000.000003,Сок,98,"томатный, концентрированный",464553196.59,4740338.740714285714,fdc61b1b-1e35-4400-98d6-31797e705371
259929.900.000002,Отливка,146,чугунная,464440992.00,3181102.684931506849,0c1c130b-1d89-4a38-9eed-737d9fd0ab73
271161.000.000000,Кабель специализированный,45,для электродвигателя,464272180.00,10317159.555555555556,05ac4e61-4594-4172-b1e7-924feb7599c8
103918.120.000000,Томат,20,"консервированный, с уксусом",464010784.30,23200539.215000000000,57485802-db8c-4835-b227-a013e82ceff5
232014.900.000036,Чашка,29,"огнеупорная, керамическая",463999971.00,15999999.000000000000,1482ca98-cb40-46dd-8641-0dbf95550778
32.99.61.00.00.00.30.60.1,Программное обеспечение ,8,Программный продукт - прочий,462665943.70,57833242.962500000000,
152013.510.000009,Сапоги,86,"для военнослужащих, мужские, кожанные, неутепленные",462506960.00,5377987.906976744186,f32b69c6-77e6-455e-bcd9-8334b26bebff
103113.900.000000,Порошок,52,картофельный,461638247.00,8877658.596153846154,04aa0eab-b524-40ae-914e-07b39861cfcf
110711.300.000001,Вода,108,"газированная, минеральная, неподслащенная, питьевая",461505996.60,4273203.672222222222,f9036cc7-d68d-432d-b856-57eca2926da4
222121.530.010088,Труба для водоснабжения,31,"полиэтиленовая, диаметр 1251-1300 мм",461478400.00,14886400.000000000000,fe64a43d-37a1-40a8-94fe-0e0e5f18ac71
241032.000.000020,Лист стальной,82,"марка Ст.3сп, толщина 0,40-12 мм, горячекатаный",461313563.28,5625775.161951219512,89e224ed-348b-4dfe-805f-d23766e51891
281314.900.000003,Установка насосная,73,"дизельная, с базовым двигателем внутреннего сгорания",459941692.00,6300571.123287671233,01f23b77-c6f6-4cf7-8ff2-dc79389a12d9
259929.190.000002,Решетка,101,"сварная, из оцинкованной проволоки",459110650.00,4545650.000000000000,e155ac9a-5d4a-44d8-b435-2d8437986a0d
282922.290.000002,Аппарат,51,абразивоструйный,458999949.00,8999999.000000000000,c1e0e2c9-8069-451e-92de-4976c8fdd113
106213.200.000001,Приобретение продуктов питания,26,Приобретение продуктов питания,458684436.60,17641709.100000000000,9af5ec44-1947-4d8f-8b94-99448983443e
283031.300.000000,Плуг,25,"для вспашки старопахотных почв не засоренных камнями, общего назначения",457922000.00,18316880.000000000000,8a220066-3f7e-4b5e-a18a-b46be57ad288
108223.753.000010,Карамель,74,"обыкновенная, начинка переслоенная карамельная масса",457644906.06,6184390.622432432432,df6e6b50-bbb1-4916-8242-35cf7c80c343
265141.000.000033,Комплект дозиметров,67,прямопоказывающий,457359437.00,6826260.253731343284,81cdd16d-fa1f-4ba4-b62d-d94cafa7abf7
282112.500.000000,Печь,47,"мусоросжигательная, неэлектрическая",456840313.00,9720006.659574468085,44135a8b-2b6a-4c31-b2ff-991de413ca7b
283093.990.000101,Приобретение запасных частей на технику John Deere,34,Приобретение запасных частей на технику John Deere,456752192.00,13433888.000000000000,6bd11900-5a69-431c-8bc0-24c94a403407
310913.900.000007,Стол,112,"лабораторный, столешница дерево, ученический",456435600.00,4075317.857142857143,dbe55456-c3f9-41b7-b659-0e1983d4d2dc
264051.700.000006,Корпус специальный,31,для видеокамеры,456320000.00,14720000.000000000000,81fdcf64-e3ef-4f78-b4bc-4cab77b3d9c2
291030.300.000008,Автобус,17,"класс 2, вместимость 110 мест, длина 16,5 м",455357142.93,26785714.290000000000,59a1c43e-3dfd-4a5f-b71e-e83391571588
222121.530.000318,Труба для водоснабжения,21,"полиэтиленовая, диаметр 315 мм, толщина стенки 18,7 мм",455253844.00,21678754.476190476190,fe64a43d-37a1-40a8-94fe-0e0e5f18ac71
259112.000.000011,Радиатор отопления,34,"секционный, алюминиевый",455131600.00,13386223.529411764706,f99dc2f6-c988-47ab-8303-c27ce22be42f
106132.390.000000,Крупа пшено,204,сорт №1,454055252.77,2225761.042990196078,3537dd13-f8a4-4062-83f8-df69b95e7748
242013.900.001309,Труба электросварная,11,"стальная, диметр 219 мм, толщина стенки 6 мм",453504754.80,41227704.981818181818,4f5d4a93-1685-4f49-835e-618a22bdcab6
110719.300.000001,Напиток,101,газированный,453088270.90,4486022.484158415842,fdb48b3c-be84-48cf-a8d7-e6284336ac7a
262017.100.000000,Монитор,209,"ЖК, диагональ более 15"", но не более 22""",452279151.13,2164015.077177033493,109e3920-9c3a-4c38-8e25-c50fe74aeb1c
272021.500.000016,Аккумулятор,22,"стартерный, напряжение 12 В, емкость 150 А/ч, свинцово-кислотный",451800580.00,20536390.000000000000,c21ea0e7-7610-43d6-8fcc-f6f5fa985df7
205952.100.000292,Набор реагентов,115,для определения цитомегаловируса,451454200.00,3925688.695652173913,0148c883-8f55-425e-9856-a25f7c4fc255
205952.100.000078,Тест-система,55,для количественного определения ГМО сои методом ПЦР в режиме реального времени,451049784.00,8200905.163636363636,0148c883-8f55-425e-9856-a25f7c4fc255
